insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-0-10-424040-3', 'O direito de concretizar seus projetos simplesmente', '2004-06-19', '56', '10');
insert into `livros` values ('978-1-83366-647-2', 'A vantagem de atingir seus objetivos com confiança', '1988-12-14', '65', '1');
insert into `livros` values ('978-0-12-734925-1', 'A arte de concretizar seus projetos sem preocupação', '1999-08-23', '71', '18');
insert into `livros` values ('978-0-17-630964-0', 'A simplicidade de concretizar seus projetos naturalmente', '1997-01-13', '100', '11');
insert into `livros` values ('978-1-965353-29-5', 'A segurança de mudar direto da fonte', '1999-06-18', '16', '2');
insert into `livros` values ('978-0-12-658663-3', 'A vantagem de mudar direto da fonte', '2018-05-19', '19', '13');
insert into `livros` values ('978-1-85319-864-9', 'O prazer de conseguir com toda a tranquilidade', '1994-03-11', '81', '15');
insert into `livros` values ('978-0-8034-9114-4', 'A simplicidade de mudar com confiança', '2009-11-28', '75', '8');
insert into `livros` values ('978-1-391-92835-7', 'O poder de atingir seus objetivos em estado puro', '1978-08-26', '3', '4');
insert into `livros` values ('978-1-920858-52-0', 'O direito de conseguir com força total', '2021-06-26', '35', '4');
insert into `livros` values ('978-1-176-52358-6', 'O poder de evoluir simplesmente', '2008-07-12', '39', '5');
insert into `livros` values ('978-0-426-22156-2', 'O poder de concretizar seus projetos em estado puro', '2012-03-26', '22', '9');
insert into `livros` values ('978-1-76010-997-4', 'A arte de ganhar de maneira eficaz', '2011-04-26', '82', '20');
insert into `livros` values ('978-1-62699-196-5', 'O direito de concretizar seus projetos com confiança', '1999-03-03', '70', '14');
insert into `livros` values ('978-0-469-42391-6', 'A segurança de realizar seus sonhos em estado puro', '1983-11-19', '48', '10');
insert into `livros` values ('978-1-69223-527-7', 'A possibilidade de mudar em estado puro', '2005-01-22', '67', '3');
insert into `livros` values ('978-0-19-812041-4', 'O poder de concretizar seus projetos antes de tudo', '2011-05-05', '40', '7');
insert into `livros` values ('978-1-950494-23-1', 'O poder de atingir seus objetivos em estado puro', '2001-06-26', '80', '2');
insert into `livros` values ('978-1-70826-926-5', 'A simplicidade de avançar mais facilmente', '2018-12-27', '17', '1');
insert into `livros` values ('978-1-358-42058-0', 'A simplicidade de mudar simplesmente', '2005-09-30', '68', '1');
insert into `livros` values ('978-0-350-55717-1', 'A possibilidade de mudar com toda a tranquilidade', '2015-06-19', '7', '1');
insert into `livros` values ('978-0-330-41126-4', 'A certeza de conseguir direto da fonte', '1970-03-13', '24', '2');
insert into `livros` values ('978-0-696-24591-6', 'A certeza de evoluir em estado puro', '2009-12-07', '48', '6');
insert into `livros` values ('978-0-645-80041-8', 'A segurança de realizar seus sonhos com toda a tranquilidade', '1974-03-12', '33', '15');
insert into `livros` values ('978-0-930687-56-4', 'A liberdade de avançar direto da fonte', '2006-08-21', '63', '7');
insert into `livros` values ('978-1-4442-9918-2', 'A segurança de realizar seus sonhos naturalmente', '1999-04-21', '57', '2');
insert into `livros` values ('978-1-5492-3818-5', 'O prazer de realizar seus sonhos mais facilmente', '1999-02-08', '55', '14');
insert into `livros` values ('978-0-7983-3397-9', 'O poder de mudar simplesmente', '1996-10-13', '47', '17');
insert into `livros` values ('978-0-259-11959-3', 'A vantagem de ganhar simplesmente', '1981-12-17', '33', '16');
insert into `livros` values ('978-0-242-31567-4', 'A certeza de ganhar mais rapidamente', '1984-12-31', '97', '4');
insert into `livros` values ('978-0-7298-5330-9', 'O poder de conseguir antes de tudo', '1982-04-15', '92', '14');
insert into `livros` values ('978-1-4765-8117-0', 'A certeza de avançar com força total', '2017-11-11', '69', '9');
insert into `livros` values ('978-1-292-34345-7', 'O poder de ganhar com toda a tranquilidade', '2004-10-10', '54', '13');
insert into `livros` values ('978-1-177-22963-0', 'O direito de realizar seus sonhos simplesmente', '1998-11-21', '98', '8');
insert into `livros` values ('978-0-545-86871-6', 'O conforto de avançar simplesmente', '2014-03-15', '11', '14');
insert into `livros` values ('978-0-19-825473-7', 'A arte de concretizar seus projetos direto da fonte', '1983-01-20', '89', '18');
insert into `livros` values ('978-0-17-429347-7', 'A vantagem de evoluir com toda a tranquilidade', '2015-05-14', '100', '6');
insert into `livros` values ('978-1-123-24509-7', 'A liberdade de realizar seus sonhos com confiança', '2010-10-30', '53', '13');
insert into `livros` values ('978-0-8208-7243-8', 'A arte de inovar com confiança', '2018-01-10', '61', '15');
insert into `livros` values ('978-1-353-04777-5', 'A liberdade de atingir seus objetivos simplesmente', '1975-01-31', '41', '17');
insert into `livros` values ('978-1-143-34759-7', 'O prazer de mudar sem preocupação', '1990-07-16', '59', '15');
insert into `livros` values ('978-1-300-04110-8', 'O prazer de inovar em estado puro', '1997-02-19', '85', '14');
insert into `livros` values ('978-1-872913-52-0', 'O poder de evoluir simplesmente', '2014-02-23', '41', '6');
insert into `livros` values ('978-1-376-02966-6', 'A vantagem de conseguir antes de tudo', '2009-04-12', '41', '7');
insert into `livros` values ('978-0-937971-69-7', 'A simplicidade de mudar antes de tudo', '2005-07-03', '70', '12');
insert into `livros` values ('978-0-7292-8494-3', 'O poder de conseguir de maneira eficaz', '1987-05-23', '16', '17');
insert into `livros` values ('978-1-79755-507-2', 'A segurança de inovar mais rapidamente', '2001-07-30', '96', '6');
insert into `livros` values ('978-0-89412-201-9', 'O prazer de conseguir com confiança', '2010-02-20', '76', '19');
insert into `livros` values ('978-1-249-99374-2', 'A liberdade de realizar seus sonhos de maneira eficaz', '1995-09-08', '36', '15');
insert into `livros` values ('978-0-651-97978-8', 'O conforto de ganhar com confiança', '2018-01-21', '38', '13');
insert into `livros` values ('978-1-188-58505-3', 'A liberdade de evoluir com força total', '1973-05-23', '28', '11');
insert into `livros` values ('978-1-00-298408-6', 'A arte de realizar seus sonhos sem preocupação', '2020-05-03', '61', '18');
insert into `livros` values ('978-0-380-93449-2', 'O prazer de mudar com força total', '2016-08-04', '28', '20');
insert into `livros` values ('978-1-123-02160-8', 'O prazer de inovar mais rapidamente', '2020-11-29', '66', '19');
insert into `livros` values ('978-1-79011-836-6', 'O prazer de inovar direto da fonte', '1979-08-02', '91', '10');
insert into `livros` values ('978-0-662-10912-9', 'A arte de atingir seus objetivos sem preocupação', '2012-10-21', '28', '1');
insert into `livros` values ('978-0-544-64678-0', 'A possibilidade de realizar seus sonhos mais rapidamente', '1973-08-19', '27', '16');
insert into `livros` values ('978-0-7320-4038-3', 'A segurança de atingir seus objetivos com força total', '1999-06-13', '82', '3');
insert into `livros` values ('978-1-871120-74-5', 'O conforto de avançar em estado puro', '2014-09-10', '14', '14');
insert into `livros` values ('978-0-7117-1095-5', 'O conforto de concretizar seus projetos direto da fonte', '2016-09-01', '54', '12');
insert into `livros` values ('978-1-392-59089-8', 'O poder de atingir seus objetivos naturalmente', '2015-02-23', '97', '10');
insert into `livros` values ('978-0-664-75587-4', 'A possibilidade de concretizar seus projetos naturalmente', '2018-09-23', '15', '9');
insert into `livros` values ('978-1-303-26556-3', 'O direito de mudar em estado puro', '1980-09-02', '86', '2');
insert into `livros` values ('978-0-86260-506-3', 'A possibilidade de mudar mais rapidamente', '2020-12-03', '5', '9');
insert into `livros` values ('978-1-65172-960-1', 'O prazer de evoluir antes de tudo', '1995-08-30', '34', '12');
insert into `livros` values ('978-1-83137-839-1', 'A simplicidade de ganhar naturalmente', '2018-10-20', '56', '19');
insert into `livros` values ('978-0-9713907-8-2', 'O prazer de realizar seus sonhos naturalmente', '2007-07-06', '36', '9');
insert into `livros` values ('978-1-167-40348-4', 'A segurança de ganhar com toda a tranquilidade', '2015-09-07', '58', '15');
insert into `livros` values ('978-0-203-07263-9', 'A arte de conseguir com confiança', '2011-11-05', '80', '1');
insert into `livros` values ('978-0-664-92945-9', 'O prazer de evoluir direto da fonte', '1970-07-20', '64', '3');
insert into `livros` values ('978-0-930019-08-2', 'A vantagem de inovar com força total', '1985-01-28', '95', '7');
insert into `livros` values ('978-1-78593-444-5', 'A certeza de evoluir antes de tudo', '1990-10-30', '13', '6');
insert into `livros` values ('978-0-7678-6154-0', 'A segurança de conseguir simplesmente', '1972-01-17', '60', '11');
insert into `livros` values ('978-1-4096-0309-2', 'O poder de atingir seus objetivos antes de tudo', '2008-04-09', '50', '11');
insert into `livros` values ('978-0-10-388056-3', 'O conforto de mudar simplesmente', '1985-12-02', '85', '10');
insert into `livros` values ('978-1-898725-14-5', 'A vantagem de inovar antes de tudo', '2011-11-09', '85', '20');
insert into `livros` values ('978-1-4725-8315-4', 'A simplicidade de atingir seus objetivos simplesmente', '2013-02-16', '54', '14');
insert into `livros` values ('978-0-206-86784-3', 'A segurança de conseguir naturalmente', '1993-03-19', '53', '3');
insert into `livros` values ('978-0-11-115453-3', 'A possibilidade de evoluir naturalmente', '2005-02-17', '67', '6');
insert into `livros` values ('978-0-8247-1146-7', 'A certeza de atingir seus objetivos antes de tudo', '2015-08-06', '72', '5');
insert into `livros` values ('978-0-452-63945-4', 'O direito de concretizar seus projetos sem preocupação', '1991-10-30', '52', '10');
insert into `livros` values ('978-0-08-196741-6', 'A possibilidade de conseguir com força total', '1992-09-01', '9', '4');
insert into `livros` values ('978-0-7996-4074-8', 'A certeza de mudar de maneira eficaz', '2008-02-16', '17', '10');
insert into `livros` values ('978-1-65234-598-5', 'A vantagem de avançar com força total', '1971-08-29', '61', '1');
insert into `livros` values ('978-1-72389-899-0', 'O prazer de evoluir de maneira eficaz', '2009-12-25', '35', '16');
insert into `livros` values ('978-1-5465-7370-8', 'A simplicidade de ganhar direto da fonte', '2005-07-04', '82', '16');
insert into `livros` values ('978-0-340-07385-8', 'O poder de mudar de maneira eficaz', '2012-11-25', '29', '11');
insert into `livros` values ('978-1-4819-8131-6', 'A simplicidade de concretizar seus projetos simplesmente', '1994-04-06', '4', '20');
insert into `livros` values ('978-0-00-402829-3', 'O conforto de concretizar seus projetos em estado puro', '1990-05-21', '91', '10');
insert into `livros` values ('978-1-231-00245-2', 'A liberdade de realizar seus sonhos simplesmente', '2016-01-03', '55', '20');
insert into `livros` values ('978-0-278-20483-6', 'O direito de evoluir mais rapidamente', '1993-06-29', '85', '12');
insert into `livros` values ('978-1-01-601265-2', 'A arte de avançar sem preocupação', '2000-01-19', '32', '9');
insert into `livros` values ('978-1-279-01421-9', 'A liberdade de avançar com força total', '1983-02-25', '95', '1');
insert into `livros` values ('978-1-872001-35-7', 'O conforto de atingir seus objetivos de maneira eficaz', '1975-05-18', '14', '12');
insert into `livros` values ('978-0-915166-26-8', 'A simplicidade de mudar naturalmente', '1974-04-23', '19', '15');
insert into `livros` values ('978-1-02-569872-4', 'O prazer de atingir seus objetivos antes de tudo', '2016-01-16', '77', '14');
insert into `livros` values ('978-0-570-64356-2', 'A simplicidade de realizar seus sonhos com confiança', '1979-03-30', '54', '2');
insert into `livros` values ('978-0-12-994296-2', 'O direito de realizar seus sonhos simplesmente', '1988-11-23', '48', '3');
insert into `livros` values ('978-1-78010-147-7', 'A segurança de realizar seus sonhos sem preocupação', '2000-02-17', '19', '10');
insert into `livros` values ('978-0-290-40840-3', 'A segurança de avançar com força total', '1982-11-25', '16', '17');
insert into `livros` values ('978-0-689-56613-4', 'A segurança de avançar mais rapidamente', '1974-08-09', '62', '15');
insert into `livros` values ('978-0-494-44960-8', 'O poder de atingir seus objetivos sem preocupação', '2018-06-29', '28', '6');
insert into `livros` values ('978-1-372-40432-0', 'O poder de evoluir mais rapidamente', '2020-03-07', '1', '8');
insert into `livros` values ('978-0-234-40332-7', 'O prazer de conseguir simplesmente', '2007-12-13', '42', '5');
insert into `livros` values ('978-0-11-930910-2', 'O prazer de mudar simplesmente', '1995-03-22', '26', '4');
insert into `livros` values ('978-0-656-89679-0', 'A arte de inovar com toda a tranquilidade', '2003-10-08', '98', '11');
insert into `livros` values ('978-1-367-64526-4', 'A liberdade de realizar seus sonhos direto da fonte', '2008-12-23', '48', '4');
insert into `livros` values ('978-0-221-77486-7', 'O direito de evoluir direto da fonte', '1987-08-26', '25', '16');
insert into `livros` values ('978-1-56984-410-6', 'A possibilidade de concretizar seus projetos simplesmente', '2002-07-07', '92', '12');
insert into `livros` values ('978-0-9570858-2-4', 'A arte de ganhar simplesmente', '1999-08-23', '12', '20');
insert into `livros` values ('978-1-82848-642-9', 'A vantagem de evoluir mais facilmente', '1975-12-31', '62', '15');
insert into `livros` values ('978-1-4176-2772-1', 'A simplicidade de ganhar com toda a tranquilidade', '1997-06-07', '86', '4');
insert into `livros` values ('978-0-399-66154-9', 'A liberdade de realizar seus sonhos de maneira eficaz', '1995-03-21', '56', '14');
insert into `livros` values ('978-1-00-847594-6', 'A simplicidade de realizar seus sonhos em estado puro', '1986-04-02', '23', '16');
insert into `livros` values ('978-1-9735-5222-2', 'O prazer de conseguir antes de tudo', '1987-06-07', '95', '16');
insert into `livros` values ('978-1-167-15082-1', 'O poder de ganhar antes de tudo', '2012-08-13', '21', '9');
insert into `livros` values ('978-1-7380649-7-7', 'A vantagem de concretizar seus projetos antes de tudo', '2004-09-20', '98', '12');
insert into `livros` values ('978-0-8369-9923-5', 'A segurança de realizar seus sonhos antes de tudo', '1989-07-01', '46', '8');
insert into `livros` values ('978-1-286-67025-5', 'O conforto de ganhar naturalmente', '1995-01-26', '29', '5');
insert into `livros` values ('978-0-14-626648-5', 'A certeza de conseguir com confiança', '2019-06-23', '16', '19');
insert into `livros` values ('978-1-4470-0494-3', 'A liberdade de inovar com confiança', '1987-02-04', '86', '19');
insert into `livros` values ('978-1-893176-56-0', 'O prazer de concretizar seus projetos em estado puro', '2002-07-31', '26', '12');
insert into `livros` values ('978-1-192-12512-2', 'A vantagem de inovar com força total', '1995-04-22', '36', '13');
insert into `livros` values ('978-1-79340-674-3', 'A liberdade de avançar mais facilmente', '1978-09-26', '36', '4');
insert into `livros` values ('978-0-396-67851-9', 'O poder de atingir seus objetivos de maneira eficaz', '2010-04-06', '69', '11');
insert into `livros` values ('978-1-63909-722-7', 'A arte de evoluir em estado puro', '2009-07-11', '8', '10');
insert into `livros` values ('978-0-85035-372-3', 'A arte de realizar seus sonhos com toda a tranquilidade', '1979-08-21', '20', '16');
insert into `livros` values ('978-1-221-96287-2', 'O prazer de inovar mais rapidamente', '2009-02-12', '81', '14');
insert into `livros` values ('978-1-62684-713-2', 'O prazer de inovar com confiança', '2014-02-05', '4', '8');
insert into `livros` values ('978-1-70915-081-4', 'A simplicidade de realizar seus sonhos sem preocupação', '2001-06-06', '57', '11');
insert into `livros` values ('978-0-351-52855-2', 'A possibilidade de evoluir com confiança', '1998-11-29', '86', '17');
insert into `livros` values ('978-1-303-80272-0', 'O conforto de realizar seus sonhos mais facilmente', '1999-05-22', '65', '16');
insert into `livros` values ('978-1-00-672554-8', 'A possibilidade de mudar mais rapidamente', '1997-09-03', '93', '19');
insert into `livros` values ('978-1-880028-50-6', 'A possibilidade de inovar de maneira eficaz', '1976-11-03', '28', '16');
insert into `livros` values ('978-0-11-144479-5', 'A arte de concretizar seus projetos naturalmente', '1974-12-21', '28', '2');
insert into `livros` values ('978-0-920641-41-5', 'O conforto de avançar mais rapidamente', '1970-08-04', '6', '8');
